,name,rating,industry,headquarter,other_locations,highly_rated_for,critically_rated_for,reviews,salaries,interviews,jobs,benefits
0,TCS,3.4,IT Services & Consulting,Bangalore / Bengaluru,436,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1.1L,9.6L,11.7k,2.8k,10.6k
1,Accenture,3.7,IT Services & Consulting,Bangalore / Bengaluru,254,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,70.4k,6.4L,9k,30.6k,6.7k
2,Wipro,3.6,IT Services & Consulting,Hyderabad / Secunderabad,370,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,62.5k,4.7L,6.5k,6.7k,4.6k
3,Cognizant,3.7,IT Services & Consulting,Hyderabad / Secunderabad,230,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,59.5k,5.9L,6.2k,849,5.5k
4,Capgemini,3.7,IT Services & Consulting,Bangalore / Bengaluru,183,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",51k,4.7L,5.3k,2.1k,3.6k
5,HDFC Bank,3.8,Banking,Mumbai,1811,"Job Security, Skill Development / Learning",Promotions / Appraisal,49.9k,1.5L,2.8k,208,3.2k
6,Infosys,3.5,IT Services & Consulting,Bangalore / Bengaluru,244,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",46.7k,5.1L,8.2k,3k,4.8k
7,ICICI Bank,4.0,Banking,Mumbai,1434,"Job Security, Promotions / Appraisal, Skill Development / Learning",,44.8k,1.5L,2.8k,32,3.7k
8,HCLTech,3.4,IT Services & Consulting,Chennai,226,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,44k,3.7L,4.4k,298,3.8k
9,Tech Mahindra,3.4,IT Services & Consulting,Hyderabad / Secunderabad,335,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,42k,2.8L,4.4k,443,3.4k
10,Genpact,3.6,IT Services & Consulting,Hyderabad / Secunderabad,182,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",40.3k,2.3L,3.7k,319,3.5k
11,Teleperformance,3.8,BPO,Mumbai,254,,,36.1k,95k,2.1k,1.1k,1.8k
12,Axis Bank,3.6,Banking,Mumbai,1492,"Promotions / Appraisal, Work Satisfaction, Company Culture",,31.9k,1.1L,1.8k,221,2.1k
13,Jio,4.3,Telecom,Mumbai,1851,"Job Security, Skill Development / Learning, Company Culture",,31.4k,62.2k,3.4k,3,2.5k
14,Concentrix Corporation,3.6,BPO,Bangalore / Bengaluru,176,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",31.2k,1.3L,1.9k,83,3.1k
15,Amazon,3.9,Internet,Bangalore / Bengaluru,520,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal,30.4k,1.4L,5.7k,1.4k,4.1k
16,iEnergizer,4.6,BPO,Noida,51,"Company Culture, Work Life Balance, Work Satisfaction",,27.3k,23.8k,965,64,430
17,Reliance Retail,3.9,Retail,Mumbai,1145,"Skill Development / Learning, Work Life Balance, Job Security",Promotions / Appraisal,26.7k,74.3k,1.9k,28,1.9k
18,IBM,3.9,IT Services & Consulting,Bangalore / Bengaluru,160,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,25.1k,2.1L,2.6k,2.4k,2.6k
19,LTIMindtree,3.6,IT Services & Consulting,Bangalore / Bengaluru,145,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,25k,1.9L,3.2k,499,775
20,HDB Financial Services,3.9,NBFC,Mumbai,1083,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",24.9k,49.7k,1k,187,1.5k
21,Larsen & Toubro Limited,3.9,Engineering & Construction,Chennai,752,"Job Security, Skill Development / Learning","Promotions / Appraisal, Work Life Balance",23k,73.5k,1.7k,205,2.8k
22,Deloitte,3.7,Management Consulting,Hyderabad / Secunderabad,184,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",,22.1k,2.4L,3.2k,1.4k,2.4k
23,Kotak Mahindra Bank,3.6,Banking,Mumbai,681,"Promotions / Appraisal, Work Satisfaction, Company Culture",,21.6k,85.5k,1.3k,83,1.3k
24,Reliance Industries,4.0,Oil & Gas,Jamnagar,807,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,19.6k,72.3k,1.5k,52,1.8k
25,Vodafone Idea,3.9,Telecom,Pune,700,"Salary & Benefits, Company Culture, Work Life Balance",Promotions / Appraisal,17.4k,50.4k,651,60,2k
26,Bharti Airtel,3.9,Telecom,Gurgaon / Gurugram,783,Promotions / Appraisal,,16.7k,48.7k,1k,126,1.6k
27,BYJU'S,3.2,EdTech,Bangalore / Bengaluru,322,"Job Security, Work Life Balance, Company Culture",,16.6k,54.1k,2.1k,--,1.7k
28,WNS,3.3,IT Services & Consulting,Pune,64,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,14.6k,69.5k,1.2k,102,1.3k
29,Tata Motors,4.1,Automobile,Pune,507,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,13.8k,42.8k,1.2k,169,1.6k
30,AU Small Finance Bank,3.9,Banking,Jaipur,773,"Work Life Balance, Job Security, Skill Development / Learning",,13.8k,28.7k,646,18,577
31,Ernst & Young,3.4,Management Consulting,Bangalore / Bengaluru,131,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",,13.7k,1.4L,1.3k,3.6k,1.2k
32,IndusInd Bank,3.4,Banking,Mumbai,788,"Promotions / Appraisal, Company Culture, Work Satisfaction",,13.7k,51.2k,737,171,793
33,IDFC FIRST Bank,3.9,Banking,Mumbai,708,"Salary & Benefits, Skill Development / Learning",,13.7k,48.8k,874,65,695
34,Flipkart,3.9,Internet,Bangalore / Bengaluru,559,"Company Culture, Skill Development / Learning",Promotions / Appraisal,12.5k,53.2k,1.6k,199,1.4k
35,Bajaj Finserv,3.9,NBFC,Pune,1154,"Salary & Benefits, Skill Development / Learning, Job Security",,12.4k,29.9k,684,4,719
36,Muthoot FinCorp,4.5,NBFC,Bangalore / Bengaluru,1083,"Company Culture, Work Life Balance, Job Security",,11.8k,8.7k,1.7k,79,275
37,PwC,3.3,Management Consulting,Bangalore / Bengaluru,130,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",,11.8k,1.2L,1.5k,1.1k,800
38,Mahindra & Mahindra,4.0,Automobile,Pune,559,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,11.7k,39.2k,816,--,1.2k
39,DXC Technology,3.6,IT Services & Consulting,Bangalore / Bengaluru,133,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",11.7k,72k,878,264,1.1k
40,Infosys BPM,3.5,BPO,Bangalore / Bengaluru,95,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",11.6k,71.8k,1.1k,83,1.1k
41,HDFC Life,3.9,Insurance,Mumbai,693,"Job Security, Skill Development / Learning",,11.6k,32.5k,753,104,613
42,Bandhan Bank,3.7,Banking,Kolkata,990,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",,10.4k,25.3k,701,10,517
43,Conneqt Business Solutions,3.6,BPO,Hyderabad / Secunderabad,264,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,10k,26.2k,545,385,772
44,Mphasis,3.3,IT Services & Consulting,Bangalore / Bengaluru,62,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,9.9k,72.7k,896,42,845
45,Yes Bank,3.7,Banking,Mumbai,537,"Job Security, Promotions / Appraisal, Company Culture",,9.8k,43.1k,524,211,608
46,Tata Steel,4.0,Iron & Steel,Jamshedpur,226,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,9.6k,33.7k,1k,--,658
47,Quess,3.8,Recruitment,Bangalore / Bengaluru,734,"Promotions / Appraisal, Job Security",,9.4k,30.4k,510,3,439
48,Startek,3.1,BPO,Bangalore / Bengaluru,107,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",,9.2k,24.1k,596,134,681
49,Asian Paints,3.9,Chemicals,Mumbai,546,"Salary & Benefits, Skill Development / Learning","Promotions / Appraisal, Work Life Balance",9.2k,24.7k,796,50,884
50,UltraTech Cement,4.1,Building Material,Mumbai,531,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,9k,23k,752,22,619
51,Paytm,3.2,FinTech,Noida,413,"Job Security, Promotions / Appraisal, Company Culture",,9k,33.6k,862,634,582
52,Shriram Finance,4.0,NBFC,Chennai,1100,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,8.8k,15k,420,5,28
53,Maruti Suzuki,4.2,Automobile,Gurgaon / Gurugram,445,"Job Security, Salary & Benefits, Company Culture",,8.8k,26.9k,742,680,977
54,Bajaj Finance,3.9,NBFC,Pune,956,"Salary & Benefits, Skill Development / Learning, Job Security",,8.7k,22.5k,403,4.6k,497
55,Sutherland Global Services,3.4,BPO,Chennai,81,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,8.6k,33.8k,765,283,901
56,EXL Service,3.6,Analytics & KPO,Noida,62,Job Security,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",8.4k,43.5k,871,1.4k,799
57,Cipla,4.1,Pharma,Mumbai,290,"Salary & Benefits, Work Life Balance, Skill Development / Learning",,8.3k,25.8k,566,85,850
58,Samsung,3.9,Consumer Electronics & Appliances,Noida,575,"Work Life Balance, Salary & Benefits",Promotions / Appraisal,8.3k,26.4k,603,51,528
59,Ericsson,4.0,Telecom,Noida,162,"Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",8.2k,42.4k,458,30,998
60,Wells Fargo,3.7,Financial Services,Bangalore / Bengaluru,28,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",8.1k,55.3k,666,29,855
61,Dr. Reddy's,4.0,Pharma,Hyderabad / Secunderabad,212,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,8k,25.7k,482,18,740
62,Optum Global Solutions,4.0,IT Services & Consulting,Hyderabad / Secunderabad,67,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,7.7k,47.6k,736,101,686
63,ICICI Prudential Life Insurance,4.0,Insurance,Mumbai,504,"Job Security, Salary & Benefits, Skill Development / Learning",,7.5k,22.7k,463,50,625
64,Delhivery,3.8,Logistics,Gurgaon / Gurugram,744,Promotions / Appraisal,,7.5k,21.1k,586,159,656
65,HGS,3.8,BPO,Bangalore / Bengaluru,121,Job Security,"Promotions / Appraisal, Salary & Benefits",7.5k,21k,267,17,968
66,JPMorgan Chase & Co.,3.8,Financial Services,Bangalore / Bengaluru,54,"Job Security, Salary & Benefits",Promotions / Appraisal,7.5k,83.3k,843,752,844
67,JSW Steel,3.9,Iron & Steel,Ballari,196,"Job Security, Skill Development / Learning",Promotions / Appraisal,7.5k,29.7k,763,106,600
68,Jana Small Finance Bank,3.8,Banking,Bangalore / Bengaluru,415,Salary & Benefits,Promotions / Appraisal,7.4k,14.3k,297,52,623
69,Equitas Small Finance Bank,4.3,Banking,Chennai,455,"Company Culture, Work Life Balance, Job Security",,7.4k,13.2k,515,19,397
70,Amazon Development Centre India,3.8,Internet,Hyderabad / Secunderabad,146,"Company Culture, Work Life Balance",Promotions / Appraisal,7.4k,37.6k,861,13,20
71,Sun Pharmaceutical Industries,4.1,Pharma,Vadodara,263,"Salary & Benefits, Job Security, Skill Development / Learning",,7.4k,23.5k,633,405,593
72,Hexaware Technologies,3.4,IT Services & Consulting,Chennai,68,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,7.3k,52.5k,807,846,547
73,Lupin,4.1,Pharma,Pune,202,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,7.2k,22.6k,427,54,766
74,L&T Construction,4.0,Engineering & Construction,Chennai,425,"Job Security, Skill Development / Learning, Salary & Benefits","Work Life Balance, Promotions / Appraisal",7.2k,19.4k,911,--,780
75,Zydus Lifesciences,3.9,Pharma,Ahmedabad,173,"Salary & Benefits, Skill Development / Learning",,7.1k,19.6k,403,23,605
76,Hindustan Unilever,4.2,FMCG,Mumbai,529,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,7.1k,20k,445,51,704
77,Ekart Logistics,3.9,Logistics,Bangalore / Bengaluru,736,Skill Development / Learning,Promotions / Appraisal,7k,15.8k,395,1,422
78,KPMG India,3.4,Management Consulting,Bangalore / Bengaluru,109,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",,6.9k,64.1k,902,103,749
79,Ujjivan Small Finance Bank,4.0,Banking,Bangalore / Bengaluru,526,"Company Culture, Work Life Balance, Job Security",,6.9k,12.6k,298,201,579
80,ITC,3.9,FMCG,Bangalore / Bengaluru,374,"Job Security, Skill Development / Learning",Promotions / Appraisal,6.9k,23.9k,660,82,637
81,Axis Max Life Insurance,4.0,Insurance,New Delhi,494,"Skill Development / Learning, Company Culture, Work Life Balance",,6.8k,19.9k,386,222,495
82,Megha Engineering & Infrastructures,3.9,Engineering & Construction,Hyderabad / Secunderabad,402,Promotions / Appraisal,,6.6k,18k,542,30,539
83,Tata Projects,4.2,Engineering & Construction,Mumbai,283,"Job Security, Salary & Benefits, Company Culture",,6.6k,22.1k,560,26,540
84,FIS,3.8,FinTech,Pune,61,"Work Life Balance, Company Culture","Promotions / Appraisal, Skill Development / Learning",6.4k,38.8k,528,158,721
85,Coforge,3.2,IT Services & Consulting,Noida,106,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",,6.4k,47.5k,659,148,273
86,Bajaj Life Insurance,3.9,Insurance,Pune,603,Salary & Benefits,,6.3k,17k,427,75,474
87,L&T Technology Services,3.1,IT Services & Consulting,Bangalore / Bengaluru,94,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,6.3k,41.7k,611,--,415
88,IIFL Finance,4.0,NBFC,Mumbai,799,"Work Life Balance, Company Culture, Job Security",,6.2k,13.7k,311,35,433
89,Cholamandalam Investment & Finance,3.8,Financial Services,Chennai,825,Salary & Benefits,Promotions / Appraisal,6.2k,12.4k,262,26,293
90,Oracle,3.5,Software Product,Bangalore / Bengaluru,56,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",6.2k,61.9k,939,1.2k,617
91,Indian Army,4.7,Defence & Aerospace,New Delhi,362,"Job Security, Company Culture, Work Life Balance",,6.2k,9.4k,194,--,728
92,Omega Healthcare,3.8,BPO,Chennai,69,"Promotions / Appraisal, Salary & Benefits",,6.1k,26.1k,522,149,390
93,Muthoot Finance,3.7,NBFC,Bangalore / Bengaluru,779,"Promotions / Appraisal, Work Satisfaction",,6.1k,12.9k,327,6,325
94,JLL,4.1,Real Estate,Gurgaon / Gurugram,85,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,6.1k,23.8k,463,270,540
95,HCL Group,3.5,IT Services & Consulting,Chennai,98,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,6k,40.4k,509,--,661
96,eClerx,3.1,IT Services & Consulting,Pune,32,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,6k,31.4k,616,92,555
97,Virtusa Consulting Services,3.7,IT Services & Consulting,Hyderabad / Secunderabad,55,"Promotions / Appraisal, Work Satisfaction, Job Security",,5.9k,55.8k,648,1.6k,318
98,DMart,3.9,Retail,Mumbai,244,"Job Security, Company Culture",Promotions / Appraisal,5.9k,18k,521,194,473
99,Piramal Finance,4.2,NBFC,Mumbai,416,"Company Culture, Work Life Balance, Skill Development / Learning",,5.9k,9.5k,281,2,445
100,HSBC Group,3.9,Financial Services,Bangalore / Bengaluru,63,"Company Culture, Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits",5.8k,42.2k,537,109,1.1k
101,Udaan,3.9,Internet,Bangalore / Bengaluru,370,"Salary & Benefits, Work Life Balance, Skill Development / Learning","Job Security, Promotions / Appraisal",5.8k,16k,365,5,755
102,Indiamart Intermesh,3.5,Internet,Noida,170,"Work Satisfaction, Promotions / Appraisal, Company Culture",,5.8k,20.1k,732,287,431
103,SMFG India Credit,3.9,NBFC,Mumbai,588,Salary & Benefits,Promotions / Appraisal,5.7k,10.5k,196,96,347
104,Aurobindo Pharma,4.0,Pharma,Hyderabad / Secunderabad,115,"Job Security, Salary & Benefits, Work Life Balance",,5.7k,20.8k,283,11,468
105,Siemens,3.9,Industrial Automation,Bangalore / Bengaluru,153,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,5.6k,33.2k,494,198,632
106,BigBasket,3.9,Internet,Bangalore / Bengaluru,140,Job Security,Promotions / Appraisal,5.6k,18.8k,456,86,380
107,CGI Group,4.0,IT Services & Consulting,Bangalore / Bengaluru,44,"Work Life Balance, Company Culture, Job Security","Promotions / Appraisal, Salary & Benefits",5.6k,46.5k,556,131,398
108,Shapoorji Pallonji Group,4.1,Engineering & Construction,Mumbai,188,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,5.6k,15.2k,407,86,632
109,Access Healthcare,3.7,BPO,Chennai,63,Job Security,"Promotions / Appraisal, Skill Development / Learning",5.6k,27.8k,371,644,347
110,Manappuram Finance,3.9,NBFC,Bangalore / Bengaluru,639,"Work Life Balance, Promotions / Appraisal, Skill Development / Learning",,5.6k,9.3k,211,12,260
111,Firstsource Solutions,3.5,BPO,Bangalore / Bengaluru,72,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,5.6k,23.8k,351,186,570
112,ICICI Lombard General Insurance Company,3.5,Insurance,Mumbai,311,"Promotions / Appraisal, Work Satisfaction, Company Culture",,5.5k,19.9k,344,138,366
113,GlobalLogic,3.5,IT Services & Consulting,Hyderabad / Secunderabad,60,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,5.5k,40k,673,66,515
114,Standard Chartered,3.6,Banking,Chennai,68,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",,5.5k,41.8k,314,--,305
115,Mahindra Finance,3.9,NBFC,Mumbai,722,Work Life Balance,Promotions / Appraisal,5.5k,12k,199,403,507
116,Apollo Hospitals,4.1,Healthcare,Chennai,228,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,5.5k,16.3k,456,245,506
117,Bosch Global Software Technologies,3.7,IT Services & Consulting,Bangalore / Bengaluru,47,"Work Life Balance, Company Culture, Job Security","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",5.4k,39.2k,377,13,625
118,UST,3.7,IT Services & Consulting,Bangalore / Bengaluru,49,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Job Security",5.4k,38.8k,571,136,407
119,Ashok Leyland,4.0,Automobile,Chennai,252,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal,5.4k,18.4k,307,--,642
120,PolicyBazaar,3.6,Internet,Gurgaon / Gurugram,147,Salary & Benefits,"Work Life Balance, Company Culture, Work Satisfaction",5.4k,16.8k,575,461,231
121,Citicorp,3.7,Financial Services,Pune,67,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",5.4k,51.2k,614,--,517
122,Swiggy,3.7,Internet,Bangalore / Bengaluru,228,"Job Security, Promotions / Appraisal, Work Satisfaction",,5.3k,22.5k,540,271,342
123,Cyient,3.6,IT Services & Consulting,Hyderabad / Secunderabad,48,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",,5.3k,27.4k,321,108,466
124,Hero MotoCorp,4.1,Automobile,Gurgaon / Gurugram,364,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal,5.3k,15.6k,395,4,584
125,SBI Cards & Payment Services,3.6,Financial Services,Gurgaon / Gurugram,432,"Promotions / Appraisal, Work Satisfaction, Company Culture",,5.1k,15.8k,289,107,344
126,JustDial,3.5,Internet,Noida,227,"Promotions / Appraisal, Work Satisfaction, Job Security",,5.1k,15.4k,382,67,372
127,Kalpataru Projects International,4.1,Engineering & Construction,Mumbai,317,"Job Security, Skill Development / Learning, Salary & Benefits",,5.1k,13.7k,312,--,203
128,BNY,3.7,Financial Services,Pune,25,Work Life Balance,"Promotions / Appraisal, Job Security",5k,30.7k,384,--,527
129,IQVIA,3.7,Clinical Research,Bangalore / Bengaluru,62,Job Security,"Promotions / Appraisal, Salary & Benefits",5k,30.4k,528,23,524
130,SBI Life Insurance Company,3.7,Insurance,Mumbai,648,Job Security,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",5k,11.7k,296,5,326
131,CBRE,4.1,Real Estate,Hyderabad / Secunderabad,91,"Company Culture, Work Life Balance, Job Security",,4.9k,18.5k,332,21,443
132,NTT Data,3.8,IT Services & Consulting,Bangalore / Bengaluru,78,Work Life Balance,Promotions / Appraisal,4.9k,35.1k,714,217,156
133,TVS Motor,3.9,Automobile,Hosur,347,"Job Security, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal,4.9k,15.8k,381,79,536
134,Nagarjuna Construction Company,4.1,Engineering & Construction,Hyderabad / Secunderabad,292,"Job Security, Company Culture, Work Life Balance",,4.9k,12k,409,14,407
135,Schneider Electric,4.1,Industrial Automation,Bangalore / Bengaluru,120,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,4.9k,24k,435,36,463
136,Persistent Systems,3.6,IT Services & Consulting,Pune,42,"Promotions / Appraisal, Job Security, Work Satisfaction",,4.9k,43.7k,696,361,369
137,vivo,4.1,Consumer Electronics & Appliances,Noida,413,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,4.9k,13k,227,4,643
138,State Bank of India,3.8,Banking,Mumbai,617,"Job Security, Skill Development / Learning, Salary & Benefits",,4.8k,11.4k,300,13,400
139,Atos,3.8,IT Services & Consulting,Pune,49,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",4.8k,33.8k,402,105,454
140,Eviden,3.6,IT Services & Consulting,Pune,39,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",4.8k,28.2k,314,7,1
141,Ecom Express,4.0,Logistics,Gurgaon / Gurugram,774,"Company Culture, Work Life Balance, Work Satisfaction",,4.8k,9.4k,256,--,323
142,KEC International,4.0,Engineering & Construction,Mumbai,310,"Job Security, Salary & Benefits, Company Culture",Promotions / Appraisal,4.7k,13.1k,401,3,441
143,Amdocs,3.6,Software Product,Pune,23,"Promotions / Appraisal, Job Security, Work Satisfaction",,4.7k,37.2k,557,67,613
144,Nagarro,3.9,IT Services & Consulting,Gurgaon / Gurugram,49,"Company Culture, Work Life Balance",Promotions / Appraisal,4.7k,31.8k,826,384,1.1k
145,JBM Group,3.9,Auto Components,Gurgaon / Gurugram,115,"Job Security, Skill Development / Learning",Promotions / Appraisal,4.7k,13.9k,332,38,342
146,Varun Beverages,4.0,Beverage,New Delhi,376,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,4.6k,12k,323,27,321
147,Home Credit Finance,4.0,NBFC,Gurgaon / Gurugram,136,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,4.6k,9.4k,141,103,629
148,Bosch,4.2,Auto Components,Bangalore / Bengaluru,127,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,4.6k,20.6k,370,81,599
149,EY Global Delivery Services ( EY GDS),3.5,IT Services & Consulting,Bangalore / Bengaluru,56,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",,4.5k,47.6k,868,14,146
150,ITC Infotech,3.6,IT Services & Consulting,Bangalore / Bengaluru,66,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",4.5k,29.3k,406,69,281
151,Hewlett Packard Enterprise,4.1,IT Services & Consulting,Bangalore / Bengaluru,103,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal,4.5k,26.8k,262,118,546
152,Mahindra Logistics,3.7,Logistics,Mumbai,234,"Promotions / Appraisal, Salary & Benefits",,4.5k,13k,241,--,445
153,OPPO,3.9,Consumer Electronics & Appliances,Greater Noida,409,Skill Development / Learning,"Promotions / Appraisal, Job Security",4.5k,11.8k,246,9,602
154,Aditya Birla Fashion and Retail,4.1,Fashion & Textile,Bangalore / Bengaluru,290,"Job Security, Skill Development / Learning, Company Culture",,4.4k,12.6k,259,74,391
155,L&T Finance,3.9,NBFC,Mumbai,627,Salary & Benefits,Promotions / Appraisal,4.4k,11.6k,207,--,260
156,Randstad,3.7,Recruitment,Hyderabad / Secunderabad,350,"Promotions / Appraisal, Job Security, Skill Development / Learning",,4.4k,16.1k,312,8,331
157,Dell,3.8,Consumer Electronics & Appliances,Bangalore / Bengaluru,117,"Work Life Balance, Company Culture","Promotions / Appraisal, Job Security",4.4k,28.6k,421,21,540
158,Utkarsh Small Finance Bank,3.6,Banking,Varanasi,401,"Promotions / Appraisal, Company Culture, Work Satisfaction",,4.4k,10.6k,285,21,269
159,CARS24,3.4,Internet,Gurgaon / Gurugram,173,"Job Security, Promotions / Appraisal, Company Culture",,4.4k,15.4k,398,156,410
160,Havells,3.9,Electrical Equipment,Noida,258,"Work Life Balance, Salary & Benefits",Promotions / Appraisal,4.4k,14.8k,268,40,315
161,R1 RCM,3.8,BPO,New Delhi,46,"Company Culture, Job Security",Promotions / Appraisal,4.4k,20.9k,348,132,333
162,Intas Pharmaceuticals,4.1,Pharma,Ahmedabad,146,"Job Security, Salary & Benefits, Work Life Balance",,4.4k,17k,250,63,362
163,Hyundai Motor India Limited,4.1,Automobile,Chennai,286,"Job Security, Salary & Benefits, Company Culture",,4.3k,13.8k,312,4,518
164,Tata AIA Life Insurance,3.9,Insurance,Mumbai,438,"Job Security, Skill Development / Learning, Salary & Benefits",,4.3k,13.8k,241,634,297
165,Deutsche Bank,3.8,Banking,Pune,42,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,4.3k,35.6k,414,850,399
166,Hetero,3.9,Pharma,Hyderabad / Secunderabad,67,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",4.3k,15k,284,151,332
167,Motilal Oswal Financial Services,3.7,Financial Services,Mumbai,166,Skill Development / Learning,"Promotions / Appraisal, Work Satisfaction",4.2k,12.9k,531,72,167
168,Team Lease,3.9,Recruitment,Bangalore / Bengaluru,392,Work Life Balance,Promotions / Appraisal,4.2k,15.9k,240,1,215
169,Berger Paints,3.7,Chemicals,Kolkata,351,"Promotions / Appraisal, Company Culture, Work Life Balance",,4.2k,9.9k,391,180,273
170,Lenskart,3.3,Internet,New Delhi,238,"Promotions / Appraisal, Company Culture, Work Life Balance",,4.1k,12.7k,421,140,199
171,Bajaj Auto,3.8,Automobile,Pune,316,Promotions / Appraisal,,4.1k,14.5k,314,--,496
172,Thermax Limited,4.2,Industrial Machinery,Pune,243,"Job Security, Company Culture, Skill Development / Learning",,4.1k,13k,321,103,371
173,Macleods Pharmaceuticals,3.7,Pharma,Mumbai,130,Job Security,"Promotions / Appraisal, Company Culture",4k,15.4k,258,9,333
174,Aakash Educational Services,3.2,Education & Training,New Delhi,243,"Promotions / Appraisal, Work Life Balance, Job Security",,4k,13.5k,361,98,212
175,LG Electronics,3.9,Consumer Electronics & Appliances,Pune,296,"Job Security, Skill Development / Learning",Promotions / Appraisal,4k,10.8k,249,1,399
176,Jubilant Foods Works,3.7,Hospitality,New Delhi,260,"Promotions / Appraisal, Work Satisfaction",,4k,9k,242,168,180
177,VE Commercial Vehicles,3.9,Automobile,Indore,155,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",4k,13.4k,270,4,340
178,Royal Enfield,4.2,Automobile,Chennai,373,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal,4k,14.6k,192,17,396
179,John Deere,4.0,Industrial Machinery,Pune,155,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,3.9k,15k,261,1,417
180,Tata Communications,3.9,Telecom,Pune,101,"Work Life Balance, Company Culture, Job Security","Promotions / Appraisal, Salary & Benefits",3.9k,23.4k,294,35,426
