,name,rating,industry,headquarter,other_locations,highly_rated_for,critically_rated_for,reviews,salaries,interviews,jobs,benefits
9768,Oman Pharmaceutical Products,2.8,Pharma,Salalah,10,"Promotions / Appraisal, Company Culture, Salary & Benefits",,108,348,18,4,10
9769,IBN Technologies,3.5,Financial Services,Pune,3,"Promotions / Appraisal, Company Culture, Salary & Benefits",,108,569,8,26,6
9770,ADG Online Solutions,2.9,New Delhi +5 other locations,,0,"Job Security, Company Culture, Work Satisfaction",,108,507,6,8,1
9771,"Denso Haryana Private Limited, Plant 1",3.9,Auto Components,Gurgaon / Gurugram,5,"Job Security, Salary & Benefits, Company Culture",Promotions / Appraisal,108,441,12,--,23
9772,AL Rashid Trading and Contracting Company,3.0,Engineering & Construction,Riyadh,9,"Skill Development / Learning, Company Culture, Promotions / Appraisal",,108,194,3,--,12
9773,We Win,3.1,BPO,Lucknow,11,"Promotions / Appraisal, Salary & Benefits, Company Culture",,108,457,7,--,--
9774,LPS Bossard,3.5,Logistics,Rohtak,13,"Promotions / Appraisal, Work Life Balance, Company Culture",,108,470,9,--,3
9775,Stratogent Technology Services,3.3,IT Services & Consulting,Bangalore / Bengaluru,2,"Work Satisfaction, Company Culture, Promotions / Appraisal",,108,664,10,--,6
9776,Pipeline Infrastructure,4.2,Oil & Gas,Mumbai,18,"Work Life Balance, Company Culture, Job Security",,108,443,4,1,6
9777,Teemage Precast In,3.7,Engineering & Construction,Tiruppur,14,"Promotions / Appraisal, Salary & Benefits, Company Culture",,108,508,4,3,13
9778,Finnew Solutions,4.1,FinTech,Bangalore / Bengaluru,30,"Salary & Benefits, Company Culture, Work Life Balance",,108,482,1,7,6
9779,Eastern Book Company,3.2,Printing & Publishing,Lucknow,9,Job Security,"Promotions / Appraisal, Skill Development / Learning, Company Culture",108,455,6,3,8
9780,Teemage Precast In,3.7,Engineering & Construction,Tiruppur,14,"Promotions / Appraisal, Salary & Benefits, Company Culture",,108,508,4,3,13
9781,We Win,3.1,BPO,Lucknow,11,"Promotions / Appraisal, Salary & Benefits, Company Culture",,108,457,7,--,--
9782,Finnew Solutions,4.1,FinTech,Bangalore / Bengaluru,30,"Salary & Benefits, Company Culture, Work Life Balance",,108,482,1,7,6
9783,LPS Bossard,3.5,Logistics,Rohtak,13,"Promotions / Appraisal, Work Life Balance, Company Culture",,108,470,9,--,3
9784,Mobicule Technologies,3.1,Software Product,Mumbai,8,"Work Life Balance, Salary & Benefits, Promotions / Appraisal",,108,594,18,8,3
9785,M.P. State Electronics Development Corporation,3.6,Bhopal +8 other locations,,0,"Promotions / Appraisal, Job Security, Work Satisfaction",,108,431,6,--,1
9786,FINE COMPONENTS AND TOOLS,3.8,Industrial Machinery,Bangalore / Bengaluru,6,"Skill Development / Learning, Work Satisfaction","Promotions / Appraisal, Salary & Benefits",108,565,9,1,11
9787,ITDOSE INFOSYSTEMS,3.2,IT Services & Consulting,Noida,6,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",,108,444,15,9,5
9788,BYD India,3.3,Automobile,Chennai,13,"Company Culture, Job Security, Promotions / Appraisal",,109,605,7,8,4
9789,Sciative Solutions,4.1,Software Product,Navi Mumbai,3,"Skill Development / Learning, Company Culture, Work Satisfaction",,108,254,32,60,14
9790,Agrim Housing Finance,4.2,Financial Services,Mumbai,16,"Company Culture, Work Life Balance, Work Satisfaction",,108,209,8,1,1
9791,Indian Red Cross Society,4.0,Non-Profit,Ahmedabad,58,"Work Life Balance, Work Satisfaction, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits, Job Security",107,268,4,--,7
9792,NTL Electronics India,4.3,Electronics Manufacturing,Noida,11,"Company Culture, Skill Development / Learning, Work Satisfaction",,107,306,1,--,17
9793,Gitarattan International Business School,4.4,Education & Training,New Delhi,0,"Company Culture, Work Life Balance, Work Satisfaction",,107,93,16,1,2
9794,YRG CARE,4.1,Chennai +26 other locations,,0,"Work Life Balance, Work Satisfaction, Skill Development / Learning",,107,234,4,6,7
